ID,lexeme,parse,root,lexical category,topic,Level,English,ex sh1,ex se1,ex sh2,ex se2,ex sh3,ex se3,ex sh4,ex se4,ex sh5,ex se5,ex sh6,ex se6,ex sh7,ex se7,ex sh8,ex se8,ex sh9,ex se9,ex sh10,ex se10,ex sh11,ex es11,ex sh12,ex se12,
3508,shqw’ul’eshelu ,shhw-√qw’ulesh-elu,√qw’ulesh,N,BI,NA,nest: bird's nest,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,
3509,sqw’ullus ,s-√qw’ullus,√qw’ullus,N,NAT,C,copper,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,
3510,qw’um ,√qw’um,√qw’um,V,NAT,C,"uprooted (for ex, by the wind)",na'ut qwum tthu thi'thqut.,The little tree got uprooted. (RP FEB83),NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,
3511,qw’umut ,√qw’um-t,√qw’um,V,NAT,C,"uproot, pull it out (for ex, hair)",suw' kwunuts tthu shu'ituns 'i' m'i qw'umutus.,..so she took some of her hair and pulled it out. (CA Stone Story),NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,
3512,sqw’umus ,s-√qw’um-as,√qw’um,N,BP,A,forehead,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,
3513,qw’uma’qwt ,√qw’um-a’qw-t,√qw’um,V,ACT,NA,"pull out someone's hair; pull tops off (for ex, dandelions)",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,
3514,qw’uqw’uma’qwt ,√qw’um-a’qw-t-PROG,√qw’um,V,ACT,NA,pulling hair out,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,
3515,qw’uma’qwum ,√qw’um-a’qw-m,√qw’um,V,ACT,NA,pull out one's lose hair,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,
3516,qw’umtsaans ,√qw’um-tsaans,√qw’um,V,ACT,NA,pull weeds,nem' lhu tuw' qw'umtsaans 'u lhunu stsey'u.,Go and pull the weeds off my strawberry (patch). (RP JAN82),NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,
3517,qw’umutst ,√qw’um-utsun-t,√qw’um,V,ACT,NA,weed a grave,uy' kws kwunuttst kw' lhhwelu they't qw'umutst kwthu shmukw'elu.,We better get three persons to fix and weed the graveyard. (RP MAR82),NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,
3518,qw’umuwst ,√qw’um-iws-t,√qw’um,V,FO,C,pluck a fowl,ii ch qw'umuwst tthu ma'uqw.,Are you plucking the duck? (RP 0481),NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,
3519,qw’uqw’umuw’st ,√qw’um-iws-t-PROG,√qw’um,V,FO,C,plucking a fowl,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,
3520,sqw’um’i’qw ,s-√qw’um-i’qw-STA,√qw’um,ADJ,DES,C,pulled out (loose head hair),NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,
3521,qw’umnuts ,√qw’um-nets,√qw’um,V,ACT,NA,pull bullrushes,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,
3522,qw’umi’yiqun’ ,√qw’umi’yiqun,√qw’umi’yiqun,N,PN,C,Comiaken (a Cowichan reserve),NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,
3523,sqw’umi’yiquna’lh ,s-√qw’umi’yiqun-a’lh,√qw’umi’yiqun,ADJ,PN,C,comiaken (adj,sqw'umi'yiquna'lh syuw'en' tthu hwte'tsustsus.,The eight rattlers are ancestry for the Comiakens. (RP JAN82),NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,
3524,qw’umxwust ,√qw’umxw-as-t,√qw’umxw,V,HC,C,wind wool into balls,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,
3525,qw’uqw’sutsun’ ,√qw’uqw’sutsun’,√qw’uqw’sutsun’,N,BI,NA,swallow (the bird),NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,
3526,qw’uqw’tiq’ ,√qw’uqw’tiq’,√qw’uqw’tiq’,N,BI,NA,"seagull: small type, some are blackheaded",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,
3527,shqw’uwultun ,shhw-√qw’uwul-ten,√qw’uwul,N,HH,C,laxative,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,
3528,hwqw’a’wulum’ ,hw-√qw’uwul-m-PROG,√qw’uwul,N,HH,C,laxative (using an herbal laxative),NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,
3529,qw’uyul’ush ,√qw’uyilus-PROG,√qw’uyilus,V,CER,NA,dancing,tl'ul'im' nuw' yulhew'sum' lhu s'itth'ums kwsus yu qw'uyul'ush.,Her dress really glittered while she danced. (RP FEB82),nilh p'e' ha'kwushus tthuw'ne'ullh 'u kwsus qw'uyul'ushs tthey' xut'ustum' ts'usqun'.,The Indian people use the feather of the one called the eagle when they dance. (WS Eagle Story),NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,
3530,qw’uyilush ,√qw’uyilush,√qw’uyilush,V,CER,NA,dance (v,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,
3531,hwsqw’uyqw’uyilush ,hws-√qw’uyilush-PL,√qw’uyilush,N,CER,NA,"dancer, someone who likes to dance",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,
3532,qw’uyi’lushulhp ,√qw’uyilush-ulhp-STA,√qw’uyilush,N,PL,C,aspen: tremblng aspen,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,
3533,qw’i’lus ,√qw’il’-as,√qw’il’,N,TI,C,summer,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,
3534,qw’i’qw’ul’as ,√qw’il’-as-DUR,√qw’il’,N,TI,C,summer: during the summer,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,
3535,yuqw’iqw’ul’us ,yu-√qw’il’-as-PROG,√qw’il’,N,TI,A,spring (springtime),NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,
3536,tum’qw’i’lus ,tum’-√qw’il’-as,√qw’il’,N,TI,C,spring (time of ripening),nem' tsun tstsiy'u 'u tun'a tum'qw'i'lus.,I am going to go strawberry picking this spring. (RP APR82),NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,
3537,qw’im ,√qw’im,√qw’im,V,MOT,C,"disembark, get off vehicle; get out of the water (swimmers, seals)","hun'shaqw suw' tstl'um qw'im. When they arrived across the lake, he jumped off.","When they arrived across the lake, he jumped off. (CA skwathshun')",suw' lheel suw' qw'im suw' kwunutus thu skwul'eshs.,"He then came ashore out of the water, and took his weapon with him. (WS Seal Story)",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,
3538,qw’iqw’um’ ,√qw’im-PROG,√qw’im,V,MOT,C,"disembarking, getting out of the water",tsulel 'i' hun'lhelt 'u tthey' ni' shni's kws qw'iqw'um's.,He had almost reached the place where he came to shore. (WS Eagle Story),NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,
3539,qw’uqw’i’qw’um’ ,√qw’im-DIM-PROG,√qw’im,V,MOT,C,"disembarking, getting out of water DIM",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,
3540,qw’elum ,√qw’im-PL,√qw’im,V,MOT,C,"disembarking, get out of the water PL; get off a vehicle PL",huye-e-e' kweyul 'i' wulh m'i tus 'u kwthu shni's kwey' suw' qw'elum tthuw'ne'ullh.,"The next day they travelled and reached that place where they (the seals) were, and they got off the canoes. (WS Seal Story)",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,
3541,sqw’iqw’um’ ,s-√qw’im-STA,√qw’im,ADJ,STP,C,out of the water,ni' hwuy 'i' ni' hwi' sqw'iqw'um' ni' 'u tthey' slhelhuq'.,"He woke up and next he was out of the water, lying there. (WS Eagle Story)",lumnuhwus tthu qux 'eshw sqw'iqw'um' ni' 'u tthu skwthe's.,He saw a lot of seals out of the water on the island. (WS Seal Story),NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,
3542,sqw’im’qw’um’ ,s-√qw’im-STA-PL,√qw’im,ADJ,STP,C,out of the water PL,nem' tsun tse' numnus kw'un'a 'i sqw'im'qw'um' 'eshw.,I am going to sneak up on the seals that are out of the water. (WS Seal Story),NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,
3543,shqw’iqw’um’ ,shhw-√qw’im-PROG,√qw’im,V,MOT,C,"disembarking, going to shore: where one is going ashore",...'i 'i 'u kwu'i kwthu tl'uw' shqw'iqw'um's tthu 'eshw…,...It was on the other side of this place where the seals go ashore… (WS Seal Story),NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,
3544,qw’imut ,√qw’im-t,√qw’im,V,MOT,C,"unload, take him/it off a vehicle",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,
3545,qw’iqw’um’ut ,√qw’im-t-PROG,√qw’im,V,MOT,C,"unload, taking him/it off a vehicle",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,
3546,qw’imutum ,√qw’im-t-m,√qw’im,V,MOT,C,"unload, take him off a vehicle PASS",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,
3547,shqw’umtun ,shhw-√qw’im-ten,√qw’im,NA,STP,C,"where it comes out, landing place",i-i-i 'i 'u tu'i tsuw'tsuw' smunment 'u tu'inulh shqw'umtuns tthu 'eshw kwsutst lumnuhw.,"He is way out in the open waters, the rock-like islands where the seals come out of the water on to land and that’s where we saw them. (WS Seal Story)",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,
3548,qw’uqw’i’tul ,√qw’i’-tal-RDP,√qw’i’,N,KIN,C,siblings,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,
3549,sqw’qwum ,s-√qw’qw-m,√qw’qw,N,TO,B,axe,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,
3550,qw’oon’ ,√qw’oon’,√qw’oon’,N,BP,A,ear,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,
3551,qw’un’qw’oon’ ,√qw’oon’-PL,√qw’oon’,N,BP,A,ears,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,
3552,tsqw’een’qw’oon’ ,ts-√qw’oon’-DUR,√qw’oon’,N,BP,B,earache (have an earache),hwleemun'ut lhu tthun' mim'ne' 'e'ut tsqw'een'qw'oon'.,Take a look at your little son’s earache. (RP JAN82),NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,
3553,qw’si’unlhp ,√qw’sin’-ulhp,√qw’sin’,N,PL,C,cypress,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,
3554,qw’xwa’luw’tsus ,√qw’xw-al-uw-tses,√qw’xw,N,BP,B,fingernail,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,
3555,qw’xwa’luw’shun ,√qw’xw-al-uw-shen,√qw’xw,N,BP,B,toenail,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,
3556,saaqw’ ,√saaqw’,√saaqw’,N,FO,C,cow parsnips,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,
3557,salu’uts ,√sala’uts,√sala’uts,N,TO,C,"sail, oldtime sail made of a rush smaller than bullrush",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,
3558,sula’utsew’t-hw ,√sala’uts-ew’t-hw,√sala’uts,N,BLD,D,summer mat house,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,
3559,salu’uts ,√sala’uts,√sala’uts,N,HH,C,mat: wall mat,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,
3560,sal’lus ,√sal’lus,√sal’lus,ADJ,PC,C,drunk,tl'lim' 'uw' sal'lus 'i' ni' p'e' 'uw' yutth'itth'uqw'nuhwus.,He was really drunk and yet he managed to punch him. (MJ MAR82),NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,
3561,sal’lus ,√sal’lus,√sal’lus,ADJ,PC,C,"lightheaded; slightly inhibriated, feeling good",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,
3562,sa’suqwt ,√saqwt-RDP,√saqwt,N,KIN,C,"younger sister, brother or cousin",ni' p'uw' sthuthi 'u kwthu ni' shni's” xut'u ts'u tthu sa'suqwt.,"He is alright where he is,” the younger brother said. (WS Seal Story)",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,
3563,su’asuqwt ,√saqwt-RDP,√saqwt,N,KIN,C,"younger sister, brother or cousin",qwals tthu su'asuqwt…,The younger brother says… (WS Seal Story),NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,
3564,su’asuqwta’luw’tsus ,√saqwt-al’-uw’-tses-RDP,√saqwt,N,BP,B,finger: little finger,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,
3565,su’asuqwta’luw’shun ,√saqwt-al-uw-shen-RDP,√saqwt,N,BP,A,toe: little toe,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,
3566,satuts ,√satuts,√satuts,N,NAT,C,north wind (brings ice),NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,
3567,sat’ut ,√sat’-t,√sat’,V,ACT,NA,suck,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,
3568,sa’sxw ,√saxw-RDP,√saxw,N,NAT,C,dew,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,
3569,saxwul ,√saxwul,√saxwul,N,PL,B,grass,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,
3570,saxwulalus ,√saxwul-alus,√saxwul,ADJ,DES,C,green,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,
3571,saxwulew’t-hw ,√saxwul-ew’t-hw,√saxwul,N,BLD,A,barn,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,
3572,sayuws ,√say-iws,√say,N,CL,D,"hat: costume hat for dancer, made of cedar bark or goat's wool",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,
3573,say’um ,√say’um,√say’um,ADJ,DES,C,sour,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,
3574,si’amthut ,√say’um-that,√say’um,ADJ,DES,C,"sour (get sour, for ex, milk)",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,
3575,hwsuya’mus ,hw-√say’um-as ,√say’um,N,NA,C,salmonberry worm,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,
3576,hwsuymiwun ,hw-√say’um-iwun,√say’um,ADJ,DES,C,bad-tempered,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,
3577,sa’ukw ,√sa’ukw,√sa’ukw,N,PN,C,Sooke,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,
3578,se’mut ,√sem’-t,√sem’,V,ACT,NA,sell it,nem' tsun se'mut thunu swetu.,I am going to sell my sweater. (RP 5FEB80A),NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,
3579,sum’nuhw ,√sem’-nehw,√sem’,V,ACT,NA,sell it (manage to),yelh 'u 'un's ni' sum'nuhw lhun' syaays swetu.,Have you finally managed to sell your sweater? (RP 0481),NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,
3580,sa’must ,√sem’-as-t,√sem’,V,ACT,NA,sell it to someone,ni' tsun sa'must 'u tthunu snuhwulh.,I sold him my canoe. (CP 9JUL74),nem' lhu sa'must tthu hwulunitum 'u tthu ste'lukun.,Go and sell those socks to the white people. (RP 0481),NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,
3581,sa’musthelum ,√sem’-as-t-sel-m,√sem’,V,ACT,NA,sold to me,sa'musthelum 'u tthu snuhwulh.,He sold me the canoe. (CP 9JUL74),NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,
3582,ens ,√sens,√sens,N,HH,C,"penny, cent",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,
3583,sul’esun’s ,√sens-DIM-PL,√sens,N,HH,C,pennies DIM PL,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,
3584,setut ,√set-t,√set,ADJ,STP,C,front: put it in front of yourself,setut lhu tthu kwun'etuhw.,Put in front of you what you are holding. (Elders MAR93),NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,
3585,sesuttsus ,√set-tsus-PROG ,√set,V,ACT,NA,Have one's hand out,e'ut hwi' sesuttsus.,He’s got his hand out. (RP 14Jan80A),NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,
3586,suttssum ,√set-tsus-m,√set,V,ACT,NA,put your hand out,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,
3587,sesuttssum’ ,√set-tsus-m-PROG,√set,V,ACT,NA,putting your hand out,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,
3588,sexum ,√sex-m,√sex,ADJ,DES,C,bitter,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,
3589,sey’ ,√sey’,√sey’,N,HC,B,wool,wulh ts'isum tthu p'e sey's nats'thut tthu s'athusth.,"His face was growing hair, and his features were changing. (WS Seal Story)",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,
3590,se’ ,√se’,√se’,ADJ,STP,C,"lifted, raised",uy' kws tuw' se's thun' lelum'.,Your house should be raised. (RP 10NOV82),ni' 'u tse' tuw' se' thun' lelum'.,Is your house going to be raised? (RP 10NOV82),NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,
3591,suse’ ,√se’-PROG,√se’,ADJ,STP,C,lifted,tl'lim' ts'u ni' 'uw' suse' tthu spaal' kwus kwikwun'tul' tthey' ni' sun'iw'.,He was lifted right up because of the fighting going on inside (him). (RP 80S),NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,
3592,se’t ,√se’-t,√se’,V,CON,C,lift it,uwu kws m'is tl'e se'tus tthu t'eluw's.,He was not able to lift his arms anymore. (WS Seal Story),NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,
3593,sen’hw ,√se’-nehw,√se’,V,CON,C,lift it (manage to),NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,
3594,suse’t ,√se’-t-PROG,√se’,V,CON,C,lifting it,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,
3595,susee’t ,√se’-t-DUR,√se’,V,CON,C,lifting: keep lifting,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,
3596,se’num ,√se’-nehw-m,√se’,V,CON,C,lift it (manage to) PASS,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,
3597,se’stewut ,√se’-stuhw-ewut,√se’,V,CON,C,lift it PASS,suw' se'stewut sus nem' 'uw' 'imushstum.,They picked him up and walked carrying him. (WS Eagle Story),NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,
3598,se’tum ,√se’-t-m,√se’,V,CON,C,lift it PASS,kwunutum tthuw'nilh swiw'lus suw' se'tum 'u tthu qux s'ul'eluhw.,"The young man was taken, lifted up by many elders. (WS Eagle Story)",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,
3599,su’els ,√se’-els,√se’,V,CON,C,lift,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,
3600,su’exun ,√se’-exun,√se’,ADJ,STP,C,"open (partly open, door)",e'ut pupeel's tthu shelh su'exun.,I(RP 80B)t is blowing through the partly open door. (RP 80B),NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,
3601,se’uxut ,√se’-exun-t,√se’,V,CON,C,"lift the edge (of a curtain, corner of a house)",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,
3602,suse’uxut ,√se’-exun-t-PROG,√se’,V,CON,C,lifting side of cover or bottom of tent,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,
3603,su’ee’nut ,√se’-un’u-t,√se’,V,CON,C,lift one end of something,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,
3604,shsunets ,s-hw-√se’-nets-DIM,√se’,V,ACT,NA,squatting,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,
3605,shsi’sunets ,s-hw-√se’-nets-STA-DIM,√se’,V,ACT,NA,squatting DIM,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,
3606,se’shenum ,√se’-shen-m,√se’,V,ACT,NA,lift one's feet,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,
